,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07703371047973633,0.0067722156122425195,0.017006301879882814,0.0022997638462894394,0.01,linear,,,"{'C': 0.01, 'kernel': 'linear'}",0.8130841121495327,0.794392523364486,0.8037383177570093,0.822429906542056,0.8348909657320872,0.8137071651090343,0.01412558759969425,9
1,0.07363166809082031,0.004148019042841726,0.015298891067504882,0.0013819650260744386,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.8286604361370716,0.794392523364486,0.8442367601246106,0.8566978193146417,0.8348909657320872,0.8317757009345794,0.02094421970588363,1
2,0.07780251502990723,0.00840067383595656,0.012499332427978516,0.0018849785462719416,1.0,linear,,,"{'C': 1, 'kernel': 'linear'}",0.8255451713395638,0.794392523364486,0.8348909657320872,0.8566978193146417,0.8255451713395638,0.8274143302180684,0.020054176871565212,6
3,0.1887816905975342,0.024799621043350144,0.011648607254028321,0.0016634202975331074,10.0,linear,,,"{'C': 10, 'kernel': 'linear'}",0.8255451713395638,0.794392523364486,0.8348909657320872,0.8566978193146417,0.8317757009345794,0.8286604361370715,0.020092854201367107,4
4,0.07825355529785157,0.0051883305351704085,0.019774818420410158,0.0020729575874373052,0.01,rbf,0.001,,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,14
5,0.07915863990783692,0.0037366150774478823,0.019498348236083984,0.0020640756328718095,0.01,rbf,0.01,,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,14
6,0.07808337211608887,0.0067651679539397136,0.020077085494995116,0.002143860789168148,0.1,rbf,0.001,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,14
7,0.07120332717895508,0.004158106116182184,0.017690420150756836,0.001353615296130066,0.1,rbf,0.01,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,14
8,0.08645596504211425,0.004297692153096221,0.021438407897949218,0.0004484214614210825,1.0,rbf,0.001,,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,14
9,0.08248581886291503,0.0015369999794083884,0.019594573974609376,0.002088828392287027,1.0,rbf,0.01,,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8255451713395638,0.778816199376947,0.822429906542056,0.8535825545171339,0.8348909657320872,0.8230529595015575,0.02464014944957656,8
10,0.07447547912597656,0.009046505424326634,0.017475652694702148,0.0018075786638001273,10.0,rbf,0.001,,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8255451713395638,0.7819314641744548,0.8286604361370716,0.8535825545171339,0.8348909657320872,0.8249221183800624,0.023593889381634255,7
11,0.07128887176513672,0.007148086077565012,0.016486215591430663,0.0014830142454090815,10.0,rbf,0.01,,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8161993769470405,0.7881619937694704,0.838006230529595,0.8566978193146417,0.838006230529595,0.8274143302180686,0.023445342956045834,5
12,0.08062801361083985,0.005730679667412507,0.01763777732849121,0.0027015627322581584,0.01,poly,,2.0,"{'C': 0.01, 'degree': 2, 'kernel': 'poly'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,14
13,0.08340187072753906,0.010090039405345726,0.017824983596801756,0.002568036686089015,0.01,poly,,3.0,"{'C': 0.01, 'degree': 3, 'kernel': 'poly'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,14
14,0.07490668296813965,0.0070976302304792335,0.018460607528686522,0.0024353956977335536,0.1,poly,,2.0,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",0.8161993769470405,0.7819314641744548,0.8099688473520249,0.8255451713395638,0.8348909657320872,0.8137071651090343,0.01799318265195471,9
15,0.08579130172729492,0.0037208579158297356,0.019942712783813477,0.0004980772949011454,0.1,poly,,3.0,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",0.8099688473520249,0.7725856697819314,0.7975077881619937,0.8286604361370716,0.8317757009345794,0.8080996884735201,0.02172659909552984,12
16,0.07133221626281738,0.0092511581947259,0.015500259399414063,0.0022543046728235538,1.0,poly,,2.0,"{'C': 1, 'degree': 2, 'kernel': 'poly'}",0.8255451713395638,0.7881619937694704,0.838006230529595,0.8629283489096573,0.8442367601246106,0.8317757009345794,0.024922118380062308,1
17,0.08134613037109376,0.005729776688620177,0.018207597732543945,0.0006586107281014712,1.0,poly,,3.0,"{'C': 1, 'degree': 3, 'kernel': 'poly'}",0.822429906542056,0.7850467289719626,0.838006230529595,0.8473520249221184,0.8598130841121495,0.8305295950155763,0.025809738538576925,3
